,Match,Team1,Team2,Match_Date,Team1_Recent_form,Team2_Recent_form,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Head_to_Head_Team1_result_percentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
301,2018PanvsTus,Panama,Tunisia,6/28/2018,1.5,1.0,55,21,0,0,1,0,0.0,Loss,32,28
302,2018EngvsBel,England,Belgium,7/14/2018,2.5,4.0,12,3,4,6,6,8,0.804348,Loss,9,1
303,2018FravsArg,France,Argentina,6/30/2018,4.0,2.5,7,5,6,8,4,5,0.375,Win,5,7
304,2018UruvsPor,Uruguay,Portugal,6/30/2018,5.0,3.5,14,4,3,4,3,4,0.5,Win,10,8
305,2018RusvsSpa,Russia,Spain,7/1/2018,2.5,3.5,70,10,1,1,6,9,0.272727,Draw,19,3
306,2018CrovsDen,Croatia,Denmark,7/1/2018,4.0,3.5,20,12,4,5,2,2,0.5,Draw,13,18
307,2018BravsMex,Brazil,Mexico,7/2/2018,4.5,3.0,2,15,7,10,2,2,0.6625,Win,4,14
308,2018BelvsJap,Belgium,Japan,7/2/2018,5.0,2.5,3,61,6,8,1,1,0.4,Win,1,24
309,2018SwevsSwi,Sweden,Switzerland,7/3/2018,3.0,3.5,24,6,2,2,2,3,0.482143,Win,15,6
310,2018ColvsEng,Colombia,England,7/3/2018,3.0,4.0,16,12,3,4,4,6,0.2,Draw,16,9
311,218UruvsFra,Uruguay,France,7/6/2018,5.0,4.0,14,7,3,4,6,8,0.625,Loss,10,5
312,2018BravsBel,Brazil,Belgium,7/6/2018,4.5,5.0,2,3,7,10,6,8,0.75,Loss,4,1
313,2018SwevsEng,Sweden,England,7/7/2018,3.5,3.5,24,12,2,2,4,6,0.479167,Loss,15,9
314,2018RusvsCro,Russia,Croatia,7/7/2018,3.0,4.5,70,20,1,1,4,5,0.333333,Draw,19,13
315,2018FravsBel,France,Belgium,7/10/2018,4.5,5.0,7,3,6,8,6,8,0.458904,Win,5,1
316,2018CrovsEng,Croatia,England,7/11/2018,4.0,3.5,20,12,4,5,4,6,0.357143,Win,13,9
317,2018BelvsEng,Belgium,England,7/14/2018,4.0,2.5,3,12,6,8,4,6,0.195652,Win,1,9
318,2018_Final_FravsCro,France,Croatia,7/15/2018,4.5,4.0,7,20,6,8,4,5,0.8,Win,5,13
319,2022QatvsEcu,Qatar,Ecuador,11/20/2022,4.5,3.0,50,44,0,1,1,2,0.5,Loss,32,23
320,2022SenvsNeth,Senegal,Netherlands,11/21/2022,2.5,4.5,18,8,1,3,2,5,0.0,Loss,15,8
321,2022QatvsSen,Qatar,Senegal,11/25/2022,4.0,2.0,50,18,0,1,1,3,0.0,Loss,32,15
322,2022NethvsEcu,Netherlands,Ecuador,11/25/2022,4.5,3.5,8,44,2,5,1,2,0.75,Draw,8,23
323,2022EcuvsSen,Ecuador,Senegal,11/29/2022,3.0,3.0,44,18,1,2,1,3,0.0,Loss,23,15
324,2022NethvsQat,Netherlands,Qatar,11/29/2022,4.5,3.0,8,50,2,5,0,1,0.0,Win,8,32
325,2022EngvsIra,England,Iran,11/21/2022,1.5,2.5,5,20,2,6,0,1,0.0,Win,9,30
326,2022UsvsWal,United States,Wales,11/21/2022,2.5,0.5,16,19,1,3,1,2,0.75,Draw,17,22
327,2022WalvsIra,Wales,Iran,11/25/2022,1.0,2.5,19,20,1,2,0,1,1.0,Loss,22,30
328,2022EngvsUs,England,United States,11/25/2022,2.0,2.5,5,16,2,6,1,3,0.772727,Draw,9,17
329,2022WalsvsEng,Wales,England,11/29/2022,0.5,2.0,19,5,1,2,2,6,0.271084,Loss,22,9
330,2022IravsUs,Iran,United States,11/29/2022,2.5,2.0,20,16,0,1,1,3,0.75,Loss,30,17
331,2022ArgvsSA,Argentina,Saudi Arabia,11/22/2022,5.0,2.5,3,51,3,6,0,1,0.75,Loss,5,31
332,2022MexvsPol,Mexico,Poland,11/22/2022,2.0,2.5,13,26,1,3,1,2,0.5,Draw,18,13
333,2022PolvsSA,Poland,Saudi Arabia,11/26/2022,2.5,3.0,26,51,1,2,0,1,1.0,Win,13,31
334,2022ArgvsMex,Argentina,Mexico,11/26/2022,4.0,2.5,3,13,3,6,1,3,0.677419,Win,5,18
335,2022PolvsArg,Poland,Argentina,11/30/2022,3.5,4.0,26,3,1,2,3,6,0.363636,Loss,13,5
336,2022SAvsMex,Saudi Arabia,Mexico,11/30/2022,2.5,1.5,51,13,0,1,1,3,0.1,Loss,31,18
337,2022DenvsTun,Denmark,Tunisia,11/22/2022,3.0,4.0,10,30,1,4,0,1,1.0,Draw,14,25
338,2022FravsAus,France,Australia,11/22/2022,2.0,4.5,4,38,4,8,0,1,0.7,Win,4,29
339,2022TunvsAus,Tunisia,Australia,11/26/2022,3.5,3.5,30,38,0,1,0,1,1.0,Loss,25,29
340,2022FravsDen,France,Denmark,11/26/2022,2.5,2.5,4,10,4,8,1,4,0.529412,Win,4,14
341,2022AusvsDen,Australia,Denmark,11/30/2022,3.5,2.5,38,10,0,1,1,4,0.375,Win,29,14
342,2022TunvsFra,Tunisia,France,11/30/2022,2.5,3.0,30,4,0,1,4,8,0.25,Win,25,4
343,2022GervsJap,Germany,Japan,11/23/2022,3.0,3.0,11,24,2,6,0,2,0.75,Loss,2,20
344,2022SpavsCoRi,Spain,Costa Rica,11/23/2022,4.0,4.5,7,31,2,6,1,2,0.833333,Win,6,24
345,2022JapvsCoRi,Japan,Costa Rica,11/27/2022,3.5,3.5,24,31,0,2,1,2,0.875,Loss,20,24
346,2022SpavsGer,Spain,Germany,11/27/2022,4.0,2.5,7,11,2,6,2,6,0.48,Draw,6,2
347,2022JapvsSpa,Japan,Spain,12/1/2022,2.5,3.5,24,7,0,2,2,6,0.0,Win,20,6
348,2022CoRivsGer,Costa Rica,Germany,12/1/2022,3.5,2.0,31,11,1,2,2,6,0.0,Loss,24,2
349,2022MorvsCro,Morocco,Croatia,12/17/2022,3.5,2.5,22,12,1,3,2,4,0.5,Draw,16,10
350,2022BelvsCan,Belgium,Canada,11/23/2022,2.5,2.5,2,41,3,7,1,2,1.0,Win,1,28
351,2022BelvsMor,Belgium,Morocco,11/27/2022,3.0,4.0,2,22,3,7,1,3,0.666667,Loss,1,16
352,2022CrovsCan,Croatia,Canada,11/27/2022,4.5,2.5,12,41,2,4,1,2,0.0,Win,10,28
353,2022CrovsBel,Croatia,Belgium,12/1/2022,4.5,2.0,12,2,2,4,3,7,0.5,Draw,10,1
354,2022CanvsMor,Canada,Morocco,12/1/2022,1.5,4.0,41,22,1,2,1,3,0.166667,Loss,28,16
