Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
2002JapvsBel,Japan,Belgium,32,23,0,0,0,1,,,,0,21,13
2002RusvsTun,Russia,Tunisia,28,31,0,0,0,0,,,,1,23,27
2002japvsRus,Japan,Russia,32,28,0,0,0,0,,,,1,21,23
2002TunvsBel,Tunisia,Belgium,31,23,0,0,0,1,,,,0,27,13
2002TunvsJpa,Tunisia,Japan,31,32,0,0,0,0,,,,-1,27,21
2002BelvsRussia,Belgium,Russia,23,28,0,1,0,0,,,,1,13,23
2002GenvsPara,Germany,Paraguay,11,18,1,3,0,0,,,,1,1,24
2002MexvsUs,Mexico,United states,7,13,0,2,0,2,,,,-1,18,15
2002SpavsIrd,Spain,Ireland,8,15,1,4,0,0,,,,0,6,22
2002SkvsIta,South Korea,Italy,40,6,0,0,2,5,,,,1,20,2
2002DenvsEng,Denmark,England,20,12,0,2,1,4,,,,-1,9,4
2002BravsBel,Brazil,Belgium,2,23,3,7,0,1,,,,1,5,13
2002SewvsSen,Sweden,Senegal,19,42,0,1,0,2,,,,-1,11,19
2002JapvsTur,Japan,Turkey,32,22,0,0,0,2,,,,-1,21,10
2002GenvsUS,Germany,United states,11,13,1,3,0,2,,,,1,1,15
2002SpavsSk,Spain,South Korea,8,40,1,4,0,0,,,,0,6,20
2002EngvsBra,England,Brazil,12,2,1,4,3,7,,,,-1,4,5
2002SenvsTur,Senegal,Turkey,42,22,0,2,0,2,,,,-1,19,10
2002GenvsSk,Germany,South Korea,11,40,1,3,0,0,,,,1,1,20
2002BravsTur,Brazil,Turkey,2,22,3,7,0,2,,,,1,5,10
2002Final_GenvsBra,Germany,Brazil,11,2,1,3,3,7,,,,-1,1,5
2002SkvsTur,South Korea,Turkey,29,22,0,0,0,2,,,,-1,20,10
2006GervsCoRi,Germany,Costa Rica,19,25,4,5,0,0,,,,1,2,28
2006PolvsRcu,Poland,Ecuador,29,39,1,1,1,1,,,,-1,16,23
2006GervsPol,Germany,Poland,19,29,4,5,1,1,,,,1,2,16
2006EcuvsCoRi,Ecuador,Costa Rica,39,25,1,1,0,0,,,,1,23,28
2006EcuvsGer,Ecuador,Germany,39,19,1,1,4,5,,,,-1,23,2
2006CoRivsPol,Costa Rica,Poland,25,29,0,0,1,1,,,,-1,28,16
2006EngvsPar,England,Paraguay,10,33,4,5,1,1,,,,1,5,22
2006TruTivsSew,Trinidad,Sweden,47,16,0,0,2,2,,,,0,32,11
2006EngvsTrito,England,Trinidad,10,47,4,5,0,0,,,,1,5,32
2006SwevsEng,Sweden,Paraguay,16,33,2,2,1,1,,,,1,11,22
2006SwevsEng,Sweden,England,16,10,2,2,4,5,,,,0,11,5
2006paravsTrinidad,Paraguay,Trinidad,33,47,1,1,0,0,,,,1,22,32
2006ArgvsLoco,Argentina,Ivory Coast,9,32,5,6,3,3,,,,1,9,24
2006SeMonvsNet,Serbia,Netherlands,44,3,1,1,4,5,,,,-1,29,10
2006ArgvsSeMon,Argentina,Serbia,9,44,5,6,1,1,,,,1,9,29
2006NethvsIvCo,Netherlands,Ivory Coast,3,32,4,5,3,3,,,,1,10,24
2006NethvsArg,Netherlands,Argentina,3,9,4,5,5,6,,,,0,10,9
2006IvoCovsSer,Ivory Coast,Serbia,32,44,3,3,1,1,,,,1,24,29
2006MexvsIrn,Mexico,Iran,4,23,2,2,0,0,,,,1,12,25
2006AngvsPor,Angola,Portugal,57,7,0,0,4,5,,,,-1,30,8
2006mexvsAng,Mexico,Angola,4,57,2,2,0,0,,,,0,12,30
2006PorvsIrn,Portugal,Iran,7,23,4,5,0,0,,,,1,8,25
2006PorvsMex,Portugal,Mexico,7,4,4,5,2,2,,,,1,8,12
2006IrnvsAng,Iran,Angola,23,57,0,0,0,0,,,,0,25,30
2006UnvsCze,United States,Czech,5,2,1,1,3,4,,,,-1,18,7
2006ItavsGha,Italy,Ghana,13,48,5,6,2,2,,,,1,1,19
2006CzevsGha,Czech,Ghana,2,48,3,4,2,2,,,,-1,7,19
2006ItavsUs,Italy,United states,13,5,5,6,1,1,,,,0,1,18
2006CzevsIta,Czech,Italy,2,13,3,4,5,6,,,,-1,7,1
2006GhavsUs,Ghana,United states,48,5,2,2,1,1,,,,1,19,18
2006AusvsJap,Australia,Japan,42,18,1,1,1,1,,,,1,17,21
2006BravsCro,Brazil,Croatia,1,23,6,8,2,2,,,,1,6,14
2006JapvsCro,Japan,Croatia,18,23,1,1,2,2,,,,0,21,14
2006bravsAus,Brazil,Australia,1,42,6,8,1,1,,,,1,6,17
2006JapvsBra,Japan,Brazil,18,1,1,1,6,8,,,,-1,21,6
2006CrvsAus,Croatia,Australia,23,42,2,2,1,1,,,,0,14,17
2006SkvsTo,South Korea,Togo,29,61,1,1,1,1,,,,1,20,27
2006FravsSwi,France,Switzerland,8,35,5,6,1,1,,,,0,3,13
2006FravsSk,France,South Korea,8,29,5,6,1,1,,,,0,3,20
2006TovsSwi,Togo,Switzerland,61,35,1,1,1,1,,,,-1,27,13
2006TovaFra,Togo,France,61,8,1,1,5,6,,,,-1,27,3
2006SwivsSk,Switzerland,South Korea,35,29,1,1,1,1,,,,1,13,20
